,constructorId,constructorRef,name,nationality,url,img_urls
176,179,de_tomaso-ferrari,De Tomaso-Ferrari,Italian,http://en.wikipedia.org/wiki/De_Tomaso,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Detomaso_automobili_logo.png/120px-Detomaso_automobili_logo.png
177,180,lotus-ford,Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus,http://upload.wikimedia.org/wikipedia/commons/9/9e/TeamLotus.jpg
178,181,brabham-brm,Brabham-BRM,British,http://en.wikipedia.org/wiki/Brabham,http://upload.wikimedia.org/wikipedia/en/5/53/Brabham91.png
179,182,brabham-ford,Brabham-Ford,British,http://en.wikipedia.org/wiki/Brabham,http://upload.wikimedia.org/wikipedia/en/5/53/Brabham91.png
180,183,brabham-climax,Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham,http://upload.wikimedia.org/wikipedia/en/5/53/Brabham91.png
181,184,lds-climax,LDS-Climax,South African,http://en.wikipedia.org/wiki/LDS_(automobile),http://upload.wikimedia.org/wikipedia/en/4/46/LDS_%28car_logo%29.png
182,185,lds-alfa_romeo,LDS-Alfa Romeo,South African,http://en.wikipedia.org/wiki/LDS_(automobile),http://upload.wikimedia.org/wikipedia/en/4/46/LDS_%28car_logo%29.png
183,186,cooper-ford,Cooper-Ford,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,http://upload.wikimedia.org/wikipedia/en/4/47/Cooper_Car_Company.png
184,187,mclaren-ford,McLaren-Ford,British,http://en.wikipedia.org/wiki/Team_McLaren,http://upload.wikimedia.org/wikipedia/en/thumb/6/66/McLaren_Racing_logo.svg/220px-McLaren_Racing_logo.svg.png
185,188,mclaren-seren,McLaren-Serenissima,British,http://en.wikipedia.org/wiki/Team_McLaren,http://upload.wikimedia.org/wikipedia/en/thumb/6/66/McLaren_Racing_logo.svg/220px-McLaren_Racing_logo.svg.png
186,189,eagle-climax,Eagle-Climax,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,http://upload.wikimedia.org/wikipedia/en/thumb/5/55/Anglo_American_Racers_logo.svg/120px-Anglo_American_Racers_logo.svg.png
187,190,eagle-weslake,Eagle-Weslake,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,http://upload.wikimedia.org/wikipedia/en/thumb/5/55/Anglo_American_Racers_logo.svg/120px-Anglo_American_Racers_logo.svg.png
188,191,brabham-repco,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham,http://upload.wikimedia.org/wikipedia/en/5/53/Brabham91.png
189,192,cooper-ferrari,Cooper-Ferrari,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,http://upload.wikimedia.org/wikipedia/en/4/47/Cooper_Car_Company.png
190,193,cooper-ats,Cooper-ATS,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,http://upload.wikimedia.org/wikipedia/en/4/47/Cooper_Car_Company.png
191,194,mclaren-brm,McLaren-BRM,British,http://en.wikipedia.org/wiki/McLaren_(racing),http://upload.wikimedia.org/wikipedia/en/thumb/6/66/McLaren_Racing_logo.svg/220px-McLaren_Racing_logo.svg.png
192,195,cooper-brm,Cooper-BRM,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,http://upload.wikimedia.org/wikipedia/en/4/47/Cooper_Car_Company.png
193,196,matra-ford,Matra-Ford,French,http://en.wikipedia.org/wiki/Matra,http://upload.wikimedia.org/wikipedia/en/thumb/0/08/Matra_logo.gif/220px-Matra_logo.gif
194,197,brm-ford,BRM-Ford,British,http://en.wikipedia.org/wiki/BRM,http://upload.wikimedia.org/wikipedia/en/b/bd/BritishRacingMotorsLogo.png
195,198,mclaren-alfa_romeo,McLaren-Alfa Romeo,British,http://en.wikipedia.org/wiki/McLaren_(racing),http://upload.wikimedia.org/wikipedia/en/thumb/6/66/McLaren_Racing_logo.svg/220px-McLaren_Racing_logo.svg.png
196,199,march-alfa_romeo,March-Alfa Romeo,British,http://en.wikipedia.org/wiki/March_Engineering,http://upload.wikimedia.org/wikipedia/en/0/02/March_Engineering.png
197,200,march-ford,March-Ford,British,http://en.wikipedia.org/wiki/March_Engineering,http://upload.wikimedia.org/wikipedia/en/0/02/March_Engineering.png
